Item,Condition,Expectancy,Particle,Context,Start sentence,R-Expression,Particle used,Original particle,unexpected  and unfair,list
18,5,medium,EW,"Nora sammelt schon länger Münzen. Die Erfahrung, die sie gesammelt hat, hilft ihr dabei, öfters sehr wertvolle Exemplare zu erkennen. Gestern brachte ihr ein befreundeter Sammler eine angeblich seltene Münze. ",Ausgerechnet diese Münze,diese Münze,ausgerechnet,ausgerechnet,unexpected,4
18,6,medium,OH,"Nora sammelt schon länger Münzen. Die Erfahrung, die sie gesammelt hat, hilft ihr dabei, öfters sehr wertvolle Exemplare zu erkennen. Gestern brachte ihr ein befreundeter Sammler eine angeblich seltene Münze. ",Diese Münze ,diese Münze,ohne,ohne,unexpected,5
19,1,high,RA,"Christian hat noch nie Golf gespielt. All seine engsten Freunde spielen aber bereits seit über 10 Jahren Golf. Sie haben ihn eingeladen, bei einem Turnier mitzumachen. ",Nur Christian,Christian,nur,nur,unexpected,1
19,2,high,EW,"Christian hat noch nie Golf gespielt. All seine engsten Freunde spielen aber bereits seit über 10 Jahren Golf. Sie haben ihn eingeladen, bei einem Turnier mitzumachen. ",Ausgerechnet Christian,Christian,ausgerechnet,ausgerechnet,unexpected,2
19,3,high,OH,"Christian hat noch nie Golf gespielt. All seine engsten Freunde spielen aber bereits seit über 10 Jahren Golf. Sie haben ihn eingeladen, bei einem Turnier mitzumachen. ",Christian ,Christian,ohne,ohne,unexpected,3
19,4,medium,RA,"Christian wurde von seinen Freunden eingeladen, mit ihnen zusammen Golf zu spielen. Er kennt seine Kumpel schon über 10 Jahre und freut sich auf das Spiel.",Nur Christian,Christian,nur,nur,unexpected,4
19,5,medium,EW,"Christian wurde von seinen Freunden eingeladen, mit ihnen zusammen Golf zu spielen. Er kennt seine Kumpel schon über 10 Jahre und freut sich auf das Spiel.",Ausgerechnet Christian,Christian,ausgerechnet,ausgerechnet,unexpected,5
19,6,medium,OH,"Christian wurde von seinen Freunden eingeladen, mit ihnen zusammen Golf zu spielen. Er kennt seine Kumpel schon über 10 Jahre und freut sich auf das Spiel.",Christian ,Christian,ohne,ohne ,unexpected,6
20,1,high,RA,Der Kinderchor singt normalerweise an Weihnachten ausschließlich klassische Weihnachtslieder. Der Chor will diese Tradition auf keinen Fall ändern. Allerdings entscheidet der Chorvorsitzende über das jährliche Programm.   ,Auch dieses Jahr,dieses Jahr,auch,auch,unexpected,2
20,2,high,EW,Der Kinderchor singt normalerweise an Weihnachten ausschließlich klassische Weihnachtslieder. Der Chor will diese Tradition auf keinen Fall ändern. Allerdings entscheidet der Chorvorsitzende über das jährliche Programm.   ,Ausgerechnet dieses Jahr,dieses Jahr,ausgerechnet,ausgerechnet,unexpected,3
20,3,high,OH,Der Kinderchor singt normalerweise an Weihnachten ausschließlich klassische Weihnachtslieder. Der Chor will diese Tradition auf keinen Fall ändern. Allerdings entscheidet der Chorvorsitzende über das jährliche Programm.   ,Dieses Jahr,dieses Jahr,ohne,ohne,unexpected,4
20,4,medium,RA,Der Kinderchor singt an Weihnachten klassische Weihnachtslieder. Dieses Jahr will der Chor gerne zusätzlich andere Lieder singen und hält darum mit dem Chorvorsitzenden Rücksprache. ,Auch dieses Jahr,dieses Jahr,auch,auch,unexpected,5
20,5,medium,EW,Der Kinderchor singt an Weihnachten klassische Weihnachtslieder. Dieses Jahr will der Chor gerne zusätzlich andere Lieder singen und hält darum mit dem Chorvorsitzenden Rücksprache. ,Ausgerechnet dieses Jahr,dieses Jahr,ausgerechnet,ausgerechnet,unexpected,6
20,6,medium,OH,Der Kinderchor singt an Weihnachten klassische Weihnachtslieder. Dieses Jahr will der Chor gerne zusätzlich andere Lieder singen und hält darum mit dem Chorvorsitzenden Rücksprache. ,Dieses Jahr,dieses Jahr,ohne,ohne ,unexpected,1
21,1,high,RA,Ruth spielt erst seit 6 Monaten Handball. Am Sonntag hatte sie ihr erstes Spiel. Die meisten anderen Spielerinnen spielen bereits seit dem Kindesalter Handball. ,Nur Ruth ,Ruth,nur,nur,unexpected,3
21,2,high,EW,Ruth spielt erst seit 6 Monaten Handball. Am Sonntag hatte sie ihr erstes Spiel. Die meisten anderen Spielerinnen spielen bereits seit dem Kindesalter Handball. ,Gerade Ruth,Ruth,gerade,gerade,unexpected,4
21,3,high,OH,Ruth spielt erst seit 6 Monaten Handball. Am Sonntag hatte sie ihr erstes Spiel. Die meisten anderen Spielerinnen spielen bereits seit dem Kindesalter Handball. ,Ruth,Ruth,ohne,ohne ,unexpected,5
21,4,medium,RA,Ruth spielt Handball beim örtlichen Verein. Am Sonntag hatte ihr Team das erste Spiel der Saison. Alle Spielerinnen haben sich unheimlich auf das Spiel gefreut. ,Nur Ruth ,Ruth,nur,nur,unexpected,6
21,5,medium,EW,Ruth spielt Handball beim örtlichen Verein. Am Sonntag hatte ihr Team das erste Spiel der Saison. Alle Spielerinnen haben sich unheimlich auf das Spiel gefreut. ,Gerade Ruth,Ruth,gerade,gerade,unexpected,1
21,6,medium,OH,Ruth spielt Handball beim örtlichen Verein. Am Sonntag hatte ihr Team das erste Spiel der Saison. Alle Spielerinnen haben sich unheimlich auf das Spiel gefreut. ,Ruth,Ruth,ohne,ohne ,unexpected,2
22,1,high,RA,"Janina geht heute Abend mit ihrem Vater ins Theater. Jedes Mal, als die Aufführung aufgrund der Pandemie verschoben wurde, hat sie viel geheult. Ihr Vater hat sie jedes Mal beruhigen müssen und hofft nun, dass das Stück heute endlich stattfindet.",Auch heute,heute ,auch,auch,unexpected,4
22,2,high,EW,"Janina geht heute Abend mit ihrem Vater ins Theater. Jedes Mal, als die Aufführung aufgrund der Pandemie verschoben wurde, hat sie viel geheult. Ihr Vater hat sie jedes Mal beruhigen müssen und hofft nun, dass das Stück heute endlich stattfindet.",Eben heute,heute ,eben,eben,unexpected,5
22,3,high,OH,"Janina geht heute Abend mit ihrem Vater ins Theater. Jedes Mal, als die Aufführung aufgrund der Pandemie verschoben wurde, hat sie viel geheult. Ihr Vater hat sie jedes Mal beruhigen müssen und hofft nun, dass das Stück heute endlich stattfindet.",Heute,heute ,ohne,ohne ,unexpected,6
22,4,medium,RA,Janina geht heute Abend mit ihrem Vater ins Theater. Die Aufführung ist aufgrund der Pandemie mehrmals verschoben worden. Nach zwei Jahren ist es dann heute endlich soweit! ,Auch heute,heute ,auch,auch,unexpected,1
22,5,medium,EW,Janina geht heute Abend mit ihrem Vater ins Theater. Die Aufführung ist aufgrund der Pandemie mehrmals verschoben worden. Nach zwei Jahren ist es dann heute endlich soweit! ,Eben heute,heute ,eben,eben,unexpected,2
22,6,medium,OH,Janina geht heute Abend mit ihrem Vater ins Theater. Die Aufführung ist aufgrund der Pandemie mehrmals verschoben worden. Nach zwei Jahren ist es dann heute endlich soweit! ,Heute,heute ,ohne,ohne ,unexpected,3
23,1,high,RA,Lea ist bereits über 20 Jahre mit Hendrik verheiratet. Jedes Wochenende bringt er ihr sehr zuverlässig Blumen mit. ,Sogar dieses Wochenende,dieses Wochenende,sogar,sogar,unexpected,5
23,2,high,EW,Lea ist bereits über 20 Jahre mit Hendrik verheiratet. Jedes Wochenende bringt er ihr sehr zuverlässig Blumen mit. ,Ausgerechnet dieses Wochenende,dieses Wochenende,ausgerechnet,ausgerechnet,unexpected,6
23,3,high,OH,Lea ist bereits über 20 Jahre mit Hendrik verheiratet. Jedes Wochenende bringt er ihr sehr zuverlässig Blumen mit. ,Dieses Wochenende ,dieses Wochenende,ohne,ohne,unexpected,1
23,4,medium,RA,"Lea und Hendrik sind bereits länger zusammen. Hendrik nimmt öfter am Wochenende mal Blumen für Lea mit. Er möchte ihr zeigen, wieviel sie ihm bedeutet. ",Sogar dieses Wochenende,dieses Wochenende,sogar,sogar,unexpected,2
23,5,medium,EW,"Lea und Hendrik sind bereits länger zusammen. Hendrik nimmt öfter am Wochenende mal Blumen für Lea mit. Er möchte ihr zeigen, wieviel sie ihm bedeutet. ",Ausgerechnet dieses Wochenende,dieses Wochenende,ausgerechnet,ausgerechnet,unexpected,3
23,6,medium,OH,"Lea und Hendrik sind bereits länger zusammen. Hendrik nimmt öfter am Wochenende mal Blumen für Lea mit. Er möchte ihr zeigen, wieviel sie ihm bedeutet. ",Dieses Wochenende ,dieses Wochenende,ohne,ohne,unexpected,4
24,1,high,RA,"Emmas Herzenswunsch wird erfüllt: 40 Jahre nachdem sie aufgehört haben, kommt ABBA nun mit neuer Musik und mit einem Konzert zurück! Gestern hat sie ihren Urlaubsantrag für das Konzert eingereicht. ",Nur jetzt ,jetzt,nur,nur,unfair,6
24,2,high,EW,"Emmas Herzenswunsch wird erfüllt: 40 Jahre nachdem sie aufgehört haben, kommt ABBA nun mit neuer Musik und mit einem Konzert zurück! Gestern hat sie ihren Urlaubsantrag für das Konzert eingereicht. ",Gerade jetzt,jetzt,gerade,gerade,unfair,1
24,3,high,OH,"Emmas Herzenswunsch wird erfüllt: 40 Jahre nachdem sie aufgehört haben, kommt ABBA nun mit neuer Musik und mit einem Konzert zurück! Gestern hat sie ihren Urlaubsantrag für das Konzert eingereicht. ",Jetzt,jetzt,ohne,ohne,unfair,2
24,4,medium,RA,Emma hat Tickets zum beliebten ABBA-konzert geschenkt bekommen und freut sich bereits auf die Reise. Gestern hat sie ihren Urlaubsantrag für das Konzert eingereicht. ,Nur jetzt ,jetzt,nur,nur,unfair,3
24,5,medium,EW,Emma hat Tickets zum beliebten ABBA-konzert geschenkt bekommen und freut sich bereits auf die Reise. Gestern hat sie ihren Urlaubsantrag für das Konzert eingereicht. ,Gerade jetzt,jetzt,gerade,gerade,unfair,4
24,6,medium,OH,Emma hat Tickets zum beliebten ABBA-konzert geschenkt bekommen und freut sich bereits auf die Reise. Gestern hat sie ihren Urlaubsantrag für das Konzert eingereicht. ,Jetzt,jetzt,ohne,ohne,unfair,5
25,1,high,RA,"Marco hat sich via Tinder in Robert verliebt. Auf seinem Tinderprofil gibt er an eine seriöse Beziehung zu suchen. Sie schreiben sich täglich. Robert ist nicht nur witzig und clever, sondern auch stinkreich. Sie vereinbaren ein Treffen. ",Auch Robert,Robert,auch,auch,unexpected,1
25,2,high,EW,"Marco hat sich via Tinder in Robert verliebt. Auf seinem Tinderprofil gibt er an eine seriöse Beziehung zu suchen. Sie schreiben sich täglich. Robert ist nicht nur witzig und clever, sondern auch stinkreich. Sie vereinbaren ein Treffen. ",Ausgerechnet Robert,Robert,ausgerechnet,ausgerechnet,unexpected,2
25,3,high,OH,"Marco hat sich via Tinder in Robert verliebt. Auf seinem Tinderprofil gibt er an eine seriöse Beziehung zu suchen. Sie schreiben sich täglich. Robert ist nicht nur witzig und clever, sondern auch stinkreich. Sie vereinbaren ein Treffen. ",Robert,Robert,ohne,ohne,unexpected,3
25,4,medium,RA,"Marco sucht seine große Liebe via Tinder. Er schaut täglich nach ob er jemanden sieht, der ihm gefällt. Ein Herr mit dem Namen Robert sieht nicht nur hübsch aus, sondern ist auch witzig und clever. Sie vereinbaren ein Treffen.",Auch Robert,Robert,auch,auch,unexpected,4
25,5,medium,EW,"Marco sucht seine große Liebe via Tinder. Er schaut täglich nach ob er jemanden sieht, der ihm gefällt. Ein Herr mit dem Namen Robert sieht nicht nur hübsch aus, sondern ist auch witzig und clever. Sie vereinbaren ein Treffen.",Ausgerechnet Robert,Robert,ausgerechnet,ausgerechnet,unexpected,5
25,6,medium,OH,"Marco sucht seine große Liebe via Tinder. Er schaut täglich nach ob er jemanden sieht, der ihm gefällt. Ein Herr mit dem Namen Robert sieht nicht nur hübsch aus, sondern ist auch witzig und clever. Sie vereinbaren ein Treffen.",Robert,Robert,ohne,ohne,unexpected,6
26,1,high,RA,Simon bewirbt sich auf eine Stelle als Zugführer. Er hat eine lange Ausbildung hinter sich und bei verschiedenen Praktika viel Erfahrung sammeln können. Auf die Stelle bewerben sich allerdings über 30 qualifizierte Kandidaten. ,Nur Simon,Simon,nur,nur,unexpected,2
26,2,high,EW,Simon bewirbt sich auf eine Stelle als Zugführer. Er hat eine lange Ausbildung hinter sich und bei verschiedenen Praktika viel Erfahrung sammeln können. Auf die Stelle bewerben sich allerdings über 30 qualifizierte Kandidaten. ,Ausgerechnet Simon,Simon,ausgerechnet,ausgerechnet,unexpected,3
26,3,high,OH,Simon bewirbt sich auf eine Stelle als Zugführer. Er hat eine lange Ausbildung hinter sich und bei verschiedenen Praktika viel Erfahrung sammeln können. Auf die Stelle bewerben sich allerdings über 30 qualifizierte Kandidaten. ,Simon,Simon,ohne,ohne,unexpected,4
26,4,medium,RA,"Simon hat sein Studium abgeschlossen, aber findet momentan nur schwer Arbeit. Aus dem Grund bewirbt er sich auf eine Stelle als Zugführer. Er müsste dann zwar noch als Quereinsteiger eine verkürzte Ausbildung machen, aber das stört ihn nicht. ",Nur Simon,Simon,nur,nur,unexpected,5
26,5,medium,EW,"Simon hat sein Studium abgeschlossen, aber findet momentan nur schwer Arbeit. Aus dem Grund bewirbt er sich auf eine Stelle als Zugführer. Er müsste dann zwar noch als Quereinsteiger eine verkürzte Ausbildung machen, aber das stört ihn nicht. ",Ausgerechnet Simon,Simon,ausgerechnet,ausgerechnet,unexpected,6
26,6,medium,OH,"Simon hat sein Studium abgeschlossen, aber findet momentan nur schwer Arbeit. Aus dem Grund bewirbt er sich auf eine Stelle als Zugführer. Er müsste dann zwar noch als Quereinsteiger eine verkürzte Ausbildung machen, aber das stört ihn nicht. ",Simon,Simon,ohne,ohne,unexpected,1
27,1,high,RA,"Liana hat unglaublich viele Schulden und einige Kredite bei verschiedenen Instanzen. Sie hat keinen Job und weiß nicht, wie sie aus dieser Situation rauskommen soll. ",Sogar Liana,Liana,sogar,sogar,unexpected  and unfair,3
27,2,high,EW,"Liana hat unglaublich viele Schulden und einige Kredite bei verschiedenen Instanzen. Sie hat keinen Job und weiß nicht, wie sie aus dieser Situation rauskommen soll. ",Gerade Liana,Liana,gerade,gerade,unexpected  and unfair,4
27,3,high,OH,"Liana hat unglaublich viele Schulden und einige Kredite bei verschiedenen Instanzen. Sie hat keinen Job und weiß nicht, wie sie aus dieser Situation rauskommen soll. ",Liana,Liana,ohne,ohne,unexpected  and unfair,5
27,4,medium,RA,Liana hat zur Zeit nicht viel Geld auf dem Konto und musste schon mehrmals Treffen mit Freunden aufgrund von Geldmangel absagen.,Sogar Liana,Liana,sogar,sogar,unexpected  and unfair,6
27,5,medium,EW,Liana hat zur Zeit nicht viel Geld auf dem Konto und musste schon mehrmals Treffen mit Freunden aufgrund von Geldmangel absagen.,Gerade Liana,Liana,gerade,gerade,unexpected  and unfair,1
27,6,medium,OH,Liana hat zur Zeit nicht viel Geld auf dem Konto und musste schon mehrmals Treffen mit Freunden aufgrund von Geldmangel absagen.,Liana,Liana,ohne,ohne,unexpected and unfair,2
28,1,high,RA,"Lukas hat eine neue Freundin. Er schwebt auf einer rosa Wolke. Gestern hat er ihre Eltern kennengelernt. Nervös war er nicht. Ihm war klar, dass sie ihn mögen werden. ",Sogar seine Freundin ,seine Freundin,sogar,sogar,unexpected,4
28,2,high,EW,"Lukas hat eine neue Freundin. Er schwebt auf einer rosa Wolke. Gestern hat er ihre Eltern kennengelernt. Nervös war er nicht. Ihm war klar, dass sie ihn mögen werden. ",Ausgerechnet seine Freundin,seine Freundin,ausgerechnet,ausgerechnet,unexpected,5
28,3,high,OH,"Lukas hat eine neue Freundin. Er schwebt auf einer rosa Wolke. Gestern hat er ihre Eltern kennengelernt. Nervös war er nicht. Ihm war klar, dass sie ihn mögen werden. ",Seine Freundin,seine Freundin,ohne,ohne,unexpected,6
28,4,medium,RA,"Lukas hat schon länger eine Beziehung, aber hat die Eltern seiner Freundin noch nicht kennengelernt. Gerne hätte er sie bereits kennengelernt, aber leider gab es noch keine Gelegenheit dazu. ",Sogar seine Freundin ,seine Freundin,sogar,sogar,unexpected,1
28,5,medium,EW,"Lukas hat schon länger eine Beziehung, aber hat die Eltern seiner Freundin noch nicht kennengelernt. Gerne hätte er sie bereits kennengelernt, aber leider gab es noch keine Gelegenheit dazu. ",Ausgerechnet seine Freundin,seine Freundin,ausgerechnet,ausgerechnet,unexpected,2
28,6,medium,OH,"Lukas hat schon länger eine Beziehung, aber hat die Eltern seiner Freundin noch nicht kennengelernt. Gerne hätte er sie bereits kennengelernt, aber leider gab es noch keine Gelegenheit dazu. ",Seine Freundin,seine Freundin,ohne,ohne,unexpected,3
29,1,high,RA,"Frau Eberle ist 88 und bei guter Gesundheit. Sie ist der Meinung, dass sie trotz Augenproblemen immer noch Auto fahren kann. Am Freitag hat sie vor, Ihre Tochter in Hamburg zu besuchen. ",Auch an dem Tag,an dem Tag,auch,auch,unexpected,5
29,2,high,EW,"Frau Eberle ist 88 und bei guter Gesundheit. Sie ist der Meinung, dass sie trotz Augenproblemen immer noch Auto fahren kann. Am Freitag hat sie vor, Ihre Tochter in Hamburg zu besuchen. ",Ausgerechnet an dem Tag,an dem Tag,ausgerechnet,ausgerechnet,unexpected,6
29,3,high,OH,"Frau Eberle ist 88 und bei guter Gesundheit. Sie ist der Meinung, dass sie trotz Augenproblemen immer noch Auto fahren kann. Am Freitag hat sie vor, Ihre Tochter in Hamburg zu besuchen. ",An dem Tag,an dem Tag,ohne,ohne,unexpected,1
29,4,medium,RA,"Frau Eberle ist 88 und bei guter Gesundheit. Morgens kommt eine Pflegehilfe, um ihr ihre Stützstrümpfe anzuziehen, aber weiter kann sie alles noch allein. Am Freitag hat sie vor, Ihre Tochter in Hamburg zu besuchen. ",Auch an dem Tag,an dem Tag,auch,auch,unexpected,2
29,5,medium,EW,"Frau Eberle ist 88 und bei guter Gesundheit. Morgens kommt eine Pflegehilfe, um ihr ihre Stützstrümpfe anzuziehen, aber weiter kann sie alles noch allein. Am Freitag hat sie vor, Ihre Tochter in Hamburg zu besuchen. ",Ausgerechnet an dem Tag,an dem Tag,ausgerechnet,ausgerechnet,unexpected,3
29,6,medium,OH,"Frau Eberle ist 88 und bei guter Gesundheit. Morgens kommt eine Pflegehilfe, um ihr ihre Stützstrümpfe anzuziehen, aber weiter kann sie alles noch allein. Am Freitag hat sie vor, Ihre Tochter in Hamburg zu besuchen. ",An dem Tag,an dem Tag,ohne,ohne,unexpected,4
30,1,high,RA,"Dieter darf nächstes Jahr in Rente gehen. Sein Leben lang hat er gearbeitet. Er freut sich bereits auf viel Lesen, Wandern und vor allem Malen. Gesundheitliche Sorgen hat er derzeit keine.",Sogar er ,er,sogar,sogar,unexpected and unfair,6
30,2,high,EW,"Dieter darf nächstes Jahr in Rente gehen. Sein Leben lang hat er gearbeitet. Er freut sich bereits auf viel Lesen, Wandern und vor allem Malen. Gesundheitliche Sorgen hat er derzeit keine.",Genau er,er,genau,genau,unexpected and unfair,1
30,3,high,OH,"Dieter darf nächstes Jahr in Rente gehen. Sein Leben lang hat er gearbeitet. Er freut sich bereits auf viel Lesen, Wandern und vor allem Malen. Gesundheitliche Sorgen hat er derzeit keine.",Er ,er,ohne,ohne,unexpected and unfair,2
30,4,medium,RA,"Dieter darf nächstes Jahr in Rente gehen. Sein Leben lang hat er gearbeitet. Er freut sich bereits auf viel Lesen, Wandern und vor allem Malen. ",Sogar er ,er,sogar,sogar,unexpected,3
30,5,medium,EW,"Dieter darf nächstes Jahr in Rente gehen. Sein Leben lang hat er gearbeitet. Er freut sich bereits auf viel Lesen, Wandern und vor allem Malen. ",Genau er,er,genau,genau,unexpected,4
30,6,medium,OH,"Dieter darf nächstes Jahr in Rente gehen. Sein Leben lang hat er gearbeitet. Er freut sich bereits auf viel Lesen, Wandern und vor allem Malen. ",Er ,er,ohne,ohne ,unexpected,5
31,1,high,RA,Ludwig hat ein neues Handy gekauft. Sein altes war bereits über 5 Jahre alt und der Akku ließ sich nicht mehr aufladen. Jetzt hat er sich für über 1000 Euro das neueste iPhone gekauft. ,Nur sein neues Handy,sein neues Handy,nur,nur,unexpected and unfair,1
31,2,high,EW,Ludwig hat ein neues Handy gekauft. Sein altes war bereits über 5 Jahre alt und der Akku ließ sich nicht mehr aufladen. Jetzt hat er sich für über 1000 Euro das neueste iPhone gekauft. ,Ausgerechnet sein neues Handy,sein neues Handy,ausgerechnet,ausgerechnet,unexpected and unfair,2
31,3,high,OH,Ludwig hat ein neues Handy gekauft. Sein altes war bereits über 5 Jahre alt und der Akku ließ sich nicht mehr aufladen. Jetzt hat er sich für über 1000 Euro das neueste iPhone gekauft. ,Sein neues Handy,sein neues Handy,ohne,ohne,unexpected and unfair,3
31,4,medium,RA,"Ludwig musste ein neues Handy kaufen. Sein altes war die letzte Zeit etwas langsamer und der Akku hat nicht mehr so lange gehalten, wie am Anfang. Er hat sich für ein Handy im mittleren Preissegment entschieden. ",Nur sein neues Handy,sein neues Handy,nur,nur,unexpected and unfair,4
31,5,medium,EW,"Ludwig musste ein neues Handy kaufen. Sein altes war die letzte Zeit etwas langsamer und der Akku hat nicht mehr so lange gehalten, wie am Anfang. Er hat sich für ein Handy im mittleren Preissegment entschieden. ",Ausgerechnet sein neues Handy,sein neues Handy,ausgerechnet,ausgerechnet,unexpected and unfair,5
31,6,medium,OH,"Ludwig musste ein neues Handy kaufen. Sein altes war die letzte Zeit etwas langsamer und der Akku hat nicht mehr so lange gehalten, wie am Anfang. Er hat sich für ein Handy im mittleren Preissegment entschieden. ",Sein neues Handy,sein neues Handy,ohne,ohne,unexpected and unfair,6
32,1,high,RA,"Maria heiratet heute. Als kleines Mädchen hat sie bereits von diesem Tag geträumt. Ihr Traumkleid hat sie schon gekauft, sogar noch bevor sie ihren zukünftigen Ehemann kennengelernt hat. Es sind 400 Gäste eingeladen, um diesen Tag mit ihr zu erleben. ",Lediglich heute ,heute ,lediglich,lediglich,unexpected and unfair,2
32,2,high,EW,"Maria heiratet heute. Als kleines Mädchen hat sie bereits von diesem Tag geträumt. Ihr Traumkleid hat sie schon gekauft, sogar noch bevor sie ihren zukünftigen Ehemann kennengelernt hat. Es sind 400 Gäste eingeladen, um diesen Tag mit ihr zu erleben. ",Gerade heute ,heute ,gerade,gerade,unexpected and unfair,3
32,3,high,OH,"Maria heiratet heute. Als kleines Mädchen hat sie bereits von diesem Tag geträumt. Ihr Traumkleid hat sie schon gekauft, sogar noch bevor sie ihren zukünftigen Ehemann kennengelernt hat. Es sind 400 Gäste eingeladen, um diesen Tag mit ihr zu erleben. ",Heute,heute ,ohne,ohne,unexpected and unfair,4
32,4,medium,RA,"Maria und Sven heiraten heute. Die Hochzeit wird in ihrem Garten stattfinden. Ihre beiden Familien, viele Freunde und einige Kollegen sind zur Hochzeit eingeladen. ",Lediglich heute ,heute ,lediglich,lediglich,unexpected and unfair,5
32,5,medium,EW,"Maria und Sven heiraten heute. Die Hochzeit wird in ihrem Garten stattfinden. Ihre beiden Familien, viele Freunde und einige Kollegen sind zur Hochzeit eingeladen. ",Gerade heute ,heute ,gerade,gerade,unexpected and unfair,6
32,6,medium,OH,"Maria und Sven heiraten heute. Die Hochzeit wird in ihrem Garten stattfinden. Ihre beiden Familien, viele Freunde und einige Kollegen sind zur Hochzeit eingeladen. ",Heute,heute ,ohne,ohne,unexpected and unfair,1
33,1,high,RA,"Benny arbeitet schon sein ganzes Erwachsenenleben im Gartencenter. Er hat mittlerweile eine Stammkundschaft aufgebaut und hilft täglich Kunden, geeignete Pflanzen für deren Wohnung zu finden. Heute kam eine Kundin vorbei und hat wegen ihrer Katze nach der Giftigkeit einer gekauften Pflanze gefragt. ",Lediglich diese Pflanze,diese Pflanze ,lediglich,lediglich,unexpected,3
33,2,high,EW,"Benny arbeitet schon sein ganzes Erwachsenenleben im Gartencenter. Er hat mittlerweile eine Stammkundschaft aufgebaut und hilft täglich Kunden, geeignete Pflanzen für deren Wohnung zu finden. Heute kam eine Kundin vorbei und hat wegen ihrer Katze nach der Giftigkeit einer gekauften Pflanze gefragt. ",Ausgerechnet diese Pflanze,diese Pflanze ,ausgerechnet,ausgerechnet,unexpected,4
33,3,high,OH,"Benny arbeitet schon sein ganzes Erwachsenenleben im Gartencenter. Er hat mittlerweile eine Stammkundschaft aufgebaut und hilft täglich Kunden, geeignete Pflanzen für deren Wohnung zu finden. Heute kam eine Kundin vorbei und hat wegen ihrer Katze nach der Giftigkeit einer gekauften Pflanze gefragt. ",Diese Pflanze,diese Pflanze ,ohne,ohne,unexpected,5
33,4,medium,RA,"Benny arbeitet im Gartencenter. Er hat viel Freude daran, Kunden zu helfen, geeignete Pflanzen für deren Wohnung zu finden. Heute kam eine Stammkundin vorbei und hat wegen ihrer Katze nach der Giftigkeit einer Monstera nachgefragt. ",Lediglich diese Pflanze,diese Pflanze ,lediglich,lediglich,unexpected,6
33,5,medium,EW,"Benny arbeitet im Gartencenter. Er hat viel Freude daran, Kunden zu helfen, geeignete Pflanzen für deren Wohnung zu finden. Heute kam eine Stammkundin vorbei und hat wegen ihrer Katze nach der Giftigkeit einer Monstera nachgefragt. ",Ausgerechnet diese Pflanze,diese Pflanze ,ausgerechnet,ausgerechnet,unexpected,1
33,6,medium,OH,"Benny arbeitet im Gartencenter. Er hat viel Freude daran, Kunden zu helfen, geeignete Pflanzen für deren Wohnung zu finden. Heute kam eine Stammkundin vorbei und hat wegen ihrer Katze nach der Giftigkeit einer Monstera nachgefragt. ",Diese Pflanze,diese Pflanze ,ohne,ohne,unexpected,2
34,1,high,RA,"Frida ist eine hoch angesehene Influencerin und Celebrity. Sie hat über 10 Millionen Follower und postet täglich über ihren Tagesablauf. Zudem macht sie Werbeposts gegen Bezahlung. Heute macht sie Werbung für Tabletten, die das Abnehmen fördern sollen. ",Auch diese Tabletten,diese Tabletten,auch ,auch,unexpected and unfair,4
34,2,high,EW,"Frida ist eine hoch angesehene Influencerin und Celebrity. Sie hat über 10 Millionen Follower und postet täglich über ihren Tagesablauf. Zudem macht sie Werbeposts gegen Bezahlung. Heute macht sie Werbung für Tabletten, die das Abnehmen fördern sollen. ",Ausgerechnet diese Tabletten,diese Tabletten,ausgerechnet,ausgerechnet,unexpected and unfair,5
34,3,high,OH,"Frida ist eine hoch angesehene Influencerin und Celebrity. Sie hat über 10 Millionen Follower und postet täglich über ihren Tagesablauf. Zudem macht sie Werbeposts gegen Bezahlung. Heute macht sie Werbung für Tabletten, die das Abnehmen fördern sollen. ",Diese Tabletten ,diese Tabletten,ohne,ohne,unexpected and unfair,6
34,4,medium,RA,"Frida ist eine Influencerin. Sie hat über 400.000 Follower und postet täglich über ihren Tagesablauf. Um über die Runden zu kommen, macht sie Werbeposts gegen Bezahlung. Heute macht sie Werbung für Tabletten, die das Abnehmen fördern sollen. ",Auch diese Tabletten,diese Tabletten,auch,auch,unexpected and unfair,1
34,5,medium,EW,"Frida ist eine Influencerin. Sie hat über 400.000 Follower und postet täglich über ihren Tagesablauf. Um über die Runden zu kommen, macht sie Werbeposts gegen Bezahlung. Heute macht sie Werbung für Tabletten, die das Abnehmen fördern sollen. ",Ausgerechnet diese Tabletten,diese Tabletten,ausgerechnet,ausgerechnet,unexpected and unfair,2
34,6,medium,OH,"Frida ist eine Influencerin. Sie hat über 400.000 Follower und postet täglich über ihren Tagesablauf. Um über die Runden zu kommen, macht sie Werbeposts gegen Bezahlung. Heute macht sie Werbung für Tabletten, die das Abnehmen fördern sollen. ",Diese Tabletten ,diese Tabletten,ohne,ohne,unexpected and unfair,3
35,1,high,RA,"Der britische Podcast My Dad Wrote a Porno ist bekannt für seine offene sexuelle Einstellung und verbreitet Informationen über verschiedene sexuelle Orientierungen, dies alles mit ganz viel Humor. Zusammen mit zwei Freunden liest Jamie jede Woche ein Kapitel des erotischen Buches seines Vaters vor und kritisiert diesen. ",Nur dieser Podcast,diese Podcast,nur,nur,unexpected,5
