Nummer,Liste,Item,Expectancy,Particle,Context,Start sentence,FortsetzungI,FortsetzungII,FortsetzungIII,FortsetzungIV
57,1,29,high,OH,"Ludwig hat ein neues Handy gekauft. Sein altes war bereits über 5 Jahre alt und der Akku ließ sich nicht mehr aufladen. Jetzt hat er sich für über 1000 Euro das neueste iPhone gekauft. Sein neues Handy ist ein absolutes High-Tech-Gerät mit einer erstklassigen Kamera, ultraschnellem Prozessor und einer beeindruckenden Akkulaufzeit.",Sein neues Handy,hat er direkt fallen lassen.,hat eine mega Akkuleistung.,kann alles.,hat einen langanhaltenden Akku.
58,2,29,medium,OH,"Ludwig musste ein neues Handy kaufen. Sein altes war die letzte Zeit etwas langsamer und der Akku hat nicht mehr so lange gehalten, wie am Anfang. Er hat sich für ein Handy im mittleren Preissegment entschieden. Sein neues Handy war deutlich schneller und der Akku hielt viel länger durch, was Ludwig sehr zufrieden stellte.",Sein neues Handy,ist von der gleichen Marke und hat einige spannende neue Funktionen.,funktioniert sehr gut und er kann nicht meckern.,wird ihm hoffentlich einige Jahre halten.,ist sehr klein aber auch sehr schnell.
59,2,30,high,OH,"Maria heiratet heute. Als kleines Mädchen hat sie bereits von diesem Tag geträumt. Ihr Traumkleid hat sie schon gekauft, sogar noch bevor sie ihren zukünftigen Ehemann kennengelernt hat. Es sind 400 Gäste eingeladen, um diesen Tag mit ihr zu erleben. Heute ist der Tag, an dem Maria endlich ihren Traummann heiratet und all ihre Träume wahr werden.",Heute,muss alles perfekt sein.,ist die Vorfreude plötzlich weg.,ist es endlich soweit.,
60,1,30,medium,OH,"Maria und Sven heiraten heute. Die Hochzeit wird in ihrem Garten stattfinden. Ihre beiden Familien, viele Freunde und einige Kollegen sind zur Hochzeit eingeladen. Heute ist ein ganz besonderer Tag für Maria und Sven, denn sie geben sich das Ja-Wort und feiern ihre Liebe mit ihren Familien, Freunden und Kollegen in ihrem Garten.",Heute,ist ein ganz besonderer Tag für beide.,regnet es nur leider.,"sollte, laut Vorhersagen, den ganzen Tag die Sonne scheinen, aber es bahnen sich einige verdaechtig graue Wolken an.",
61,1,31,high,OH,"Benny arbeitet schon sein ganzes Erwachsenenleben im Gartencenter. Er hat mittlerweile eine Stammkundschaft aufgebaut und hilft täglich Kunden, geeignete Pflanzen für deren Wohnung zu finden. Heute kam eine Kundin vorbei und hat wegen ihrer Katze nach der Giftigkeit einer gekauften Pflanze gefragt. Diese Pflanze Diese Pflanze ist ungiftig für Katzen, keine Sorge. Ich empfehle Ihnen jedoch, sie außerhalb der Reichweite Ihrer Katze aufzustellen, um sicherzugehen.",Diese Pflanze,kann unter Umständen sehr gefährlich für Katzen sein.,ist zum Glück nicht giftig für Katzen.,war zum Glück nicht giftig.,ist hochgradig giftig
62,2,31,medium,OH,"Benny arbeitet im Gartencenter. Er hat viel Freude daran, Kunden zu helfen, geeignete Pflanzen für deren Wohnung zu finden. Heute kam eine Stammkundin vorbei und hat wegen ihrer Katze nach der Giftigkeit einer Monstera nachgefragt. Diese Pflanze ist zwar äußerst dekorativ und pflegeleicht, jedoch sollte man darauf achten, dass Haustiere nicht an ihr knabbern, da sie giftige Substanzen enthält, die für Katzen und Hunde schädlich sein können.",Diese Pflanze,ist scheinbar sehr gefährlich für Kleintiere.,hat schöne große Blätter und sieht daher in jeder Wohnung toll aus. ,ist nicht besonders giftig.,sei für Katzen jedoch harmlos.
63,2,32,high,OH,"Frida ist eine hoch angesehene Influencerin und Celebrity. Sie hat über 10 Millionen Follower und postet täglich über ihren Tagesablauf. Zudem macht sie Werbeposts gegen Bezahlung. Heute macht sie Werbung für Tabletten, die das Abnehmen fördern sollen. Diese Tabletten versprechen schnelle Erfolge beim Abnehmen, doch Frida betont in ihrem Post die Wichtigkeit einer gesunden Ernährung und ausreichender Bewegung.",Diese Tabletten,sind von keiner bekannten Firma und der versprochene Erfolg ist sehr fragwürdig.,können aber sehr gefärlich sein.,haben aber gar keine Wirkung.,"kennt Sie nicht, für Geld macht Sie aber alles."
64,1,32,medium,OH,"Frida ist eine Influencerin. Sie hat über 400.000 Follower und postet täglich über ihren Tagesablauf. Um über die Runden zu kommen, macht sie Werbeposts gegen Bezahlung. Heute macht sie Werbung für Tabletten, die das Abnehmen fördern sollen. Diese Tabletten versprechen schnelle Ergebnisse, aber Frida weiß, dass es wichtig ist, auch auf gesunde Ernährung und regelmäßige Bewegung zu achten, um langfristig fit zu bleiben.",Diese Tabletten,würde sie selber niemals einnehmen.,sind allerdings völliger Humbug.,helfen aber nicht.,können aber starke Nebenwirkungen haben.
65,1,33,high,OH,"Der britische Podcast My Dad Wrote a Porno ist bekannt für seine offene sexuelle Einstellung und verbreitet Informationen über verschiedene sexuelle Orientierungen, dies alles mit ganz viel Humor. Zusammen mit zwei Freunden liest Jamie jede Woche ein Kapitel des erotischen Buches seines Vaters vor und kritisiert diesen. Dieser Podcast ist sowohl unterhaltsam als auch informativ und schafft es, das Thema Sexualität auf lockere und humorvolle Art und Weise anzusprechen.",Dieser Podcast,ist nichts für Asexuelle.,ist Geschmackssache.,", zu weltweiter Trauer, wird in Kuerze beendet.",ist offensichtlicherweise nicht für Kinder geeignet.
66,2,33,medium,OH,"Der britische Podcast My Dad Wrote a Porno ist international bekannt geworden. Zusammen mit zwei Freunden liest Jamie jede Woche ein Kapitel des erotischen Buches seines Vaters vor und kritisiert diesen. Dieser Podcast ist durch seine humorvolle Art und die skurrilen Inhalte des Buches zu einem weltweiten Phänomen geworden, das Millionen von Hörerinnen und Hörer begeistert.",Dieser Podcast,ist sehr beliebt.,ist sehr unerfolgreich.,hat viele Fans.,erfreut sich großer Beliebtheit.
67,2,34,high,OH,"Klaus ist über 40 Jahre mit seiner Frau Ida verheiratet und plant einen Wochenendsausflug für deren Jubiläum. Er liebt seine Frau über alles und kann den Ausflug kaum erwarten. An diesem Wochenende plant Klaus, zusammen mit Ida an ihren Lieblingsort zu fahren, um dort gemeinsam Zeit miteinander zu verbringen und sich an ihre unvergesslichen Jahre der Ehe zu erinnern.",An diesem Wochenende,soll die Sonne scheinen.,ist tolles Wetter.,ist schönes Wetter vorhergesagt.,möchte er sie richtig verwöhnen.
68,1,34,medium,OH,Klaus und Frida sind schon länger zusammen und planen kommendes Wochenende einen Ausflug. Sie werden zusammen für drei Tage nach Paris fliegen. An diesem Wochenende werden Klaus und Frida gemeinsam die Sehenswürdigkeiten von Paris erkunden und die romantische Atmosphäre der Stadt genießen.,An diesem Wochenende,will er um ihre Hand anhalten.,werden Klaus und Frida nach Paris fliegen.,war wenig los in Paris.,regnet es wie verrückt
